epoch,step,train_loss
9,49,4.975277900695801
19,99,6.446826457977295
29,149,4.127969741821289
39,199,7.557844161987305
49,249,3.6763408184051514
59,299,5.941620826721191
69,349,3.2603137493133545
79,399,4.415492057800293
89,449,4.71860408782959
99,499,3.7974753379821777
109,549,3.1617074012756348
119,599,2.3031492233276367
129,649,2.638234853744507
139,699,4.231513500213623
149,749,4.05570125579834
159,799,7.742223739624023
169,849,4.402106285095215
179,899,4.006921768188477
189,949,4.384004592895508
199,999,3.546267032623291
209,1049,4.331394195556641
219,1099,4.130273818969727
229,1149,2.19073748588562
239,1199,4.191157341003418
249,1249,5.036464691162109
259,1299,7.3997297286987305
269,1349,2.743124485015869
279,1399,3.6673836708068848
289,1449,2.2280516624450684
299,1499,4.698110103607178
309,1549,3.2690634727478027
319,1599,7.27079963684082
329,1649,4.35695219039917
339,1699,4.387228012084961
349,1749,2.5495080947875977
359,1799,4.319770812988281
369,1849,5.963074684143066
379,1899,4.844564437866211
389,1949,3.796135902404785
399,1999,2.9950509071350098
409,2049,2.8532798290252686
419,2099,4.905095100402832
429,2149,5.80233097076416
439,2199,4.835446357727051
449,2249,4.122241020202637
459,2299,4.852608680725098
469,2349,3.583512783050537
479,2399,3.367061138153076
489,2449,3.532534599304199
499,2499,2.5239920616149902
